occurrence_date,offense,borough,precinct,latitude,longitude,sector,jurisdiction,compstat_date,object_id,identifier,xcoord,ycoord
2010-01-01T00:01:00,RAPE,MANHATTAN,34,40.8514877740001,-73.9354579669999,A,N.Y. POLICE DEPT,2013-01-12:00:00 AMow,566858,93fe2e66,1002106,249501
2010-01-01T00:01:00,GRAND LARCENY,MANHATTAN,34,40.849587813,-73.9343501389999,A,N.Y. POLICE DEPT,2011-01-12:00:00 AMow,566859,7290eacb,1002413,248809
2010-01-01T00:01:00,RAPE,BRONX,46,40.853960274,-73.900120875,M,N.Y. POLICE DEPT,2010-05-12:00:00 AMow,566860,50422e4,1011881,250411
2010-01-01T00:01:00,RAPE,BRONX,46,40.853960274,-73.900120875,G,N.Y. POLICE DEPT,2010-06-12:00:00 AMow,566861,4d984ddf,1011881,250411
2010-01-01T00:01:00,GRAND LARCENY,BRONX,45,40.878622771,-73.8306972199999,J,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,566862,9fa8636e,1031069,259426
2010-01-01T00:10:00,ROBBERY,MANHATTAN,23,40.795121785,-73.945159213,E,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,566863,b90cf704,999435,228963
2010-01-01T00:15:00,GRAND LARCENY,MANHATTAN,10,40.7428336580001,-74.005703308,C,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,566864,54cc1f20,982670,209908
2010-01-01T00:30:00,GRAND LARCENY OF MOTOR VEHICLE,QUEENS,113,40.6950207250001,-73.750200784,N,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,566865,9c4409d1,1053520,192587
2010-01-01T00:30:00,ROBBERY,QUEENS,114,40.76484893,-73.908712658,D,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,566866,5b9c02ce,1009538,217942
2010-01-01T00:30:00,FELONY ASSAULT,MANHATTAN,32,40.825908155,-73.93742672,N,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,566867,256bd57f,1001568,240181
2010-01-01T00:40:00,ROBBERY,BROOKLYN,73,40.6692364780001,-73.921687386,C,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,566868,aa2b90cb,1005975,183104
2010-01-01T00:40:00,FELONY ASSAULT,BROOKLYN,94,40.727537559,-73.944341707,B,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,566869,e1a54689,999677,204340
2010-01-01T00:40:00,FELONY ASSAULT,MANHATTAN,20,40.782085092,-73.982820795,E,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,566870,504619be,989008,224209
2010-01-01T00:45:00,ROBBERY,BROOKLYN,71,40.6650226890001,-73.9571107629999,A,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,566871,c23762cb,996149,181562
2010-01-01T00:45:00,GRAND LARCENY OF MOTOR VEHICLE,QUEENS,114,40.762307128,-73.905106314,A,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,566872,40ffba92,1010538,217017
2010-01-01T00:50:00,ROBBERY,BROOKLYN,67,40.65388611,-73.9544978439999,A,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,566873,ad3bff9,996876,177505
2010-01-01T00:53:00,FELONY ASSAULT,BROOKLYN,70,40.6313067930001,-73.968848543,E,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,566874,ffed9cc5,992897,169277
2010-01-01T01:00:00,RAPE,QUEENS,101,40.6029515910001,-73.749976261,F,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,566875,273e7119,1053678,159044
