occurrence_datetime,offense,borough,precinct,latitude,longitude,sector,jurisdiction,compstat_date,object_id,identifier,xcoord,ycoord
2010-03-01 12:00,GRAND LARCENY,BRONX,45,40.8253,-73.82069,B,N.Y. POLICE DEPT,2010-03-19,482798,c1555782,1033875,240003
2010-03-01 12:00,ROBBERY,BRONX,48,40.85104,-73.88824,B,N.Y. POLICE DEPT,2010-03-01,482799,25829d1f,1015169,249352
2010-03-01 12:00,GRAND LARCENY,BRONX,47,40.8776,-73.86722,B,N.Y. POLICE DEPT,2010-05-24,482800,a43f2dd5,1020970,259037
2010-03-01 12:10,ROBBERY,BROOKLYN,70,40.63594,-73.96248,H,N.Y. TRANSIT POLICE,2010-03-01,482801,f952ad3f,994663,170966
2010-03-01 12:15,FELONY ASSAULT,QUEENS,102,40.71241,-73.82622,F,N.Y. POLICE DEPT,2010-03-02,482802,d4c25ec5,1032428,198872
2010-03-01 12:15,GRAND LARCENY,MANHATTAN,13,40.74106,-73.99786,G,N.Y. TRANSIT POLICE,2010-03-01,482803,fbe1031a,984843,209263
2010-03-01 12:18,BURGLARY,BROOKLYN,77,40.67125,-73.92671,M,N.Y. POLICE DEPT,2010-03-01,482804,41164163,1004580,183838
2010-03-01 12:21,GRAND LARCENY,MANHATTAN,19,40.76187,-73.96636,F,N.Y. POLICE DEPT,2010-03-01,482805,104b6f0d,993570,216847
2010-03-01 12:30,GRAND LARCENY OF MOTOR VEHICLE,BROOKLYN,71,40.65737,-73.94622,J,N.Y. POLICE DEPT,2010-03-01,482806,977ffe45,999171,178774
2010-03-01 12:30,GRAND LARCENY,QUEENS,105,40.71794,-73.73696,K,N.Y. POLICE DEPT,2010-03-01,482807,d49966dd,1057167,200948
2010-03-01 12:30,GRAND LARCENY,BROOKLYN,94,40.7286,-73.95599,G,N.Y. POLICE DEPT,2010-03-04,482808,33e9f376,996449,204725
2010-03-01 12:30,ROBBERY,MANHATTAN,28,40.80732,-73.94942,D,N.Y. POLICE DEPT,2010-03-01,482809,8362cf16,998253,233408
2010-03-01 12:35,BURGLARY,MANHATTAN,30,40.82673,-73.9501,D,N.Y. POLICE DEPT,2010-03-01,482810,b84049b4,998060,240479
2010-03-01 12:40,GRAND LARCENY,MANHATTAN,14,40.75253,-73.99322,G,N.Y. POLICE DEPT,2010-03-02,482811,71206a03,986128,213441
2010-03-01 12:45,GRAND LARCENY,MANHATTAN,10,40.74197,-74.00092,A,N.Y. POLICE DEPT,2010-03-02,482812,ccd0a9fa,983996,209593
2010-03-01 13:00,ROBBERY,BROOKLYN,70,40.65139,-73.9602,I,N.Y. POLICE DEPT,2010-03-01,482813,7b023aee,995294,176595
2010-03-01 13:00,BURGLARY,BROOKLYN,67,40.65706,-73.91771,M,N.Y. POLICE DEPT,2010-03-01,482814,48f6b884,1007083,178668
2010-03-01 13:00,GRAND LARCENY,MANHATTAN,19,40.77917,-73.95478,C,N.Y. POLICE DEPT,2010-03-02,482815,c6128c10,996773,223149
2010-03-01 13:00,GRAND LARCENY,MANHATTAN,26,40.80933,-73.96295,C,N.Y. POLICE DEPT,2010-03-01,482816,9f3fc0c2,994508,234136
2010-03-01 13:00,FELONY ASSAULT,BRONX,43,40.82131,-73.88033,C,N.Y. POLICE DEPT,2010-03-18,482817,58cacf5f,1017372,238522
